Rk,Player,EXC (min),ARM (max),POP2B (min)
"1","古賀 優","0.68","129.6","1.68"
"2","佐藤 都","0.68","134.7","1.79"
"3","谷川原 健","0.62","136.2","1.8"
"4","田宮 裕","0.6","137.3","1.81"
"5","山本 祐","0.5","131.3","1.82"
"6","加藤 匠","0.67","139.4","1.84"
"7","石伊 雄","0.11","136.2","1.85"
"8","松尾 汐","0.5","142.9","1.85"
"9","松川 虎","0.63","128.1","1.86"
"10","岸田 行","0.4","133.3","1.87"
"11","鈴木 叶","0.63","137.6","1.87"
"12","小島 大","0.13","127","1.9"
"13","木下 拓","0.68","138.6","1.91"
"14","森 友","0.3","128.4","1.91"
"15","海野 隆","0.17","126.3","1.91"
"16","梅野 隆","0.64","126.2","1.92"
"17","大城 卓","0.56","128.4","1.92"
"18","持丸 泰","0.57","131.5","1.94"
"19","太田 光","0.09","124.4","1.94"
"20","古賀 悠","0.63","130.8","1.95"
"20","若月 健","0.6","131","1.95"
"22","山瀬 慎","0.63","131.8","1.96"
"23","伊藤 光","0.08","121.7","2.01"
"24","坂倉 将","0.43","131.8","2.02"
"25","清水 優","0.79","126.3","2.02"
"26","田村 龍","0.66","119.9","2.03"
"27","坂本 誠","0.53","165.8","2.03"
"28","戸柱 恭","0.77","124.7","2.05"
"29","石原 貴","0.78","126","2.06"
"30","中村 悠","0.85","126.2","2.12"
"31","福永 奨",,"56.3",
"31","伏見 寅","1.05","98.8",
"31","石原 彪",,,
"31","小林 誠",,,
"31","マルティネス ア","1.07","94.5",
"31","味谷 大",,,
"31","嶋村 麟","2.3","131.6",
"31","寺地 隆",,,
"31","柘植 世",,,
"31","渡邉 陸",,,
"31","安田 悠","2.5","80",
