Rk,Player,ARM (max),EXC (min),POP2B (min)
"1","加藤 匠","139.4","0.67","1.84"
"2","松尾 汐","142.9","0.5","1.84"
"3","鈴木 叶","137.6","0.63","1.87"
"4","谷川原 健","136.2","0.62","1.8"
"5","石伊 雄","136.2","0.11","1.85"
"6","木下 拓","138.6","0.68","1.91"
"7","進藤 勇","130.8","0.67","1.83"
"8","山瀬 慎","131.8","0.63","1.96"
"9","持丸 泰","131.5","0.57","-0.46"
"10","田宮 裕","137.3","0.6","1.81"
"11","山本 祐","131.3","0.5","1.76"
"12","森 友","128.4","0.3","1.91"
"13","大城 卓","128.4","0.56","1.92"
"14","古賀 悠","130.8","0.63","1.67"
"15","松川 虎","128.1","0.63","1.86"
"16","若月 健","131","0.4","1.95"
"17","岸田 行","133.3","0.4","1.87"
"18","中村 悠","126.2","0.85","2.12"
"19","梅野 隆","126.2","0.64","1.92"
"20","石原 貴","126","0.78","2.06"
"21","坂本 誠","165.8","0.53","2.03"
"22","戸柱 恭","124.7","0.7","1.94"
"23","小島 大","127","0.13","1.9"
"24","古賀 優","129.6","0.67","1.68"
"25","海野 隆","126.3","0.17","1.91"
"26","田村 龍","122.6","0.66","1.99"
"27","坂倉 将","131.8","0.43","2.02"
"28","太田 光","124.9","0.09","1.89"
"29","柘植 世","122","0.68","1.93"
"30","佐藤 都","134.7","0.43","1.79"
"31","清水 優","126.3","0.79","2.02"
"32","伊藤 光","121.7","0.08","2.01"
"33","伏見 寅","104.6","1.05",
"34","福永 奨","56.3",,
"34","石原 彪",,,
"34","小林 誠",,,
"34","マルティネス ア","94.5","1.07",
"34","味谷 大",,,
"34","嶋村 麟","131.6","2.3",
"34","寺地 隆",,,
"34","渡邉 陸","104","1.41",
"34","安田 悠","84.3","2.5",
